"country","iso3c","genus_cat","Exports","Imports","Reexports","perc_imp_reexport","perc_exports_reexport"
"Switzerland","CHE","Cephalopods",1,3243,0,0,0
"Switzerland","CHE","Crustaceans",39,9153,0,0,0
"Switzerland","CHE","Demersal Fish",14,19443,0,0,0
"Switzerland","CHE","Freshwater Fish",163,32743,0,0,0
"Switzerland","CHE","Marine Fish; Other",863,15259,0,0,0
"Switzerland","CHE","Moluscs; Other",12,4140,0,0,0
"Switzerland","CHE","Pelagic Fish",4,13251,0,0,0
"Syrian Arab Republic","SYR","Pelagic Fish",57,8772,0,0,0
"Taiwan Province of China","TWN","Aquatic Animals; Others",951,3189,0,0,0
"Taiwan Province of China","TWN","Cephalopods",70016,41533,0,0,0
"Taiwan Province of China","TWN","Crustaceans",9611,58766,0,0,0
"Taiwan Province of China","TWN","Demersal Fish",47188,38120,0,0,0
"Taiwan Province of China","TWN","Freshwater Fish",37967,43070,0,0,0
"Taiwan Province of China","TWN","Marine Fish; Other",40910,79085,0,0,0
"Taiwan Province of China","TWN","Moluscs; Other",2745,20055,0,0,0
"Taiwan Province of China","TWN","Pelagic Fish",522827,181424,0,0,0
"Tanzania, United Rep. of","TZA","Aquatic Animals; Others",108,NA,0,NA,0
"Tanzania, United Rep. of","TZA","Cephalopods",927,NA,0,NA,0
"Tanzania, United Rep. of","TZA","Crustaceans",1642,6,0,0,0
"Tanzania, United Rep. of","TZA","Demersal Fish",479,109,0,0,0
"Tanzania, United Rep. of","TZA","Freshwater Fish",30424,1973,0,0,0
"Tanzania, United Rep. of","TZA","Marine Fish; Other",15648,37,0,0,0
"Tanzania, United Rep. of","TZA","Moluscs; Other",149,1,0,0,0
"Tanzania, United Rep. of","TZA","Pelagic Fish",2925,15262,0,0,0
"Thailand","THA","Aquatic Animals; Others",10361,882.67,0,0,0
"Thailand","THA","Cephalopods",53045,149475,0,0,0
"Thailand","THA","Crustaceans",227714,54165,0,0,0
"Thailand","THA","Demersal Fish",27864,43754,0,0,0
"Thailand","THA","Freshwater Fish",64043,125933,0,0,0
"Thailand","THA","Marine Fish; Other",215524,287022,0,0,0
"Thailand","THA","Moluscs; Other",33565,21933,0,0,0
"Thailand","THA","Pelagic Fish",744668,1269678,0,0,0
"Togo","TGO","Demersal Fish",23,8177,0,0,0
"Togo","TGO","Freshwater Fish",4,36245,0,0,0
