"iso3c","nutrient","production_sector","nut_supply","consump"
"BEN","Vitamin A","Industrial",18446068.5505016,736.498787727121
"BEN","Vitamin A","Subsistence",343617134.584576,29604.8820542352
"BEN","Vitamin B12","Artisanal",943791177.739141,128275.825176468
"BEN","Vitamin B12","Import",455613703.933333,127780.316
"BEN","Vitamin B12","Industrial",4235462.7713129,736.498787727121
"BEN","Vitamin B12","Subsistence",116596150.50819,29604.8820542352
"BEN","Zinc","Artisanal",130900556.220133,128275.825176468
"BEN","Zinc","Import",109798621.666667,127780.316
"BEN","Zinc","Industrial",700770.858486811,736.498787727121
"BEN","Zinc","Subsistence",17803026.9347502,29604.8820542352
"BES","Calcium","Artisanal",33675106.1434792,473.8201192608
"BES","Calcium","Recreational",7697877.13661696,416.2681407744
"BES","Calcium","Subsistence",89903575.6815048,251.1786072168
"BES","DHA+EPA","Artisanal",504123.284980053,473.8201192608
"BES","DHA+EPA","Recreational",400718.213115694,416.2681407744
"BES","DHA+EPA","Subsistence",251277.521656015,251.1786072168
"BES","Iron","Artisanal",718264.8350056,473.8201192608
"BES","Iron","Recreational",514168.24054912,416.2681407744
"BES","Iron","Subsistence",492672.8415292,251.1786072168
"BES","Vitamin A","Artisanal",16773431.873068,473.8201192608
"BES","Vitamin A","Recreational",11948437.37408,416.2681407744
"BES","Vitamin A","Subsistence",8107489.903936,251.1786072168
"BES","Vitamin B12","Artisanal",2189294.7207424,473.8201192608
"BES","Vitamin B12","Recreational",1833121.55326208,416.2681407744
"BES","Vitamin B12","Subsistence",1944344.376106,251.1786072168
"BES","Zinc","Artisanal",527095.37784072,473.8201192608
"BES","Zinc","Recreational",394683.86680832,416.2681407744
"BES","Zinc","Subsistence",487567.148303408,251.1786072168
"BFA","Calcium","Import",19955631290,459242.394
"BFA","DHA+EPA","Import",580608205.1768,459242.394
"BFA","Iron","Import",552483475.1,459242.394
"BFA","Vitamin A","Import",12999064675,459242.394
"BFA","Vitamin B12","Import",1766963128.4,459242.394
"BFA","Zinc","Import",461302101.95,459242.394
"BGD","Calcium","Artisanal",367404437821.354,2203951.86190306
"BGD","Calcium","Import",1147372646,24091.2998
"BGD","Calcium","Industrial",7785886187.45214,60312.692313047
"BGD","Calcium","Subsistence",152146873721.208,814816.115768681
"BGD","DHA+EPA","Artisanal",4841682665.25293,2203951.86190306
"BGD","DHA+EPA","Import",22170547.95162,24091.2998
"BGD","DHA+EPA","Industrial",123886079.96976,60312.692313047
"BGD","DHA+EPA","Subsistence",797088179.690091,814816.115768681
"BGD","Iron","Artisanal",5386609665.22808,2203951.86190306
"BGD","Iron","Import",28311159.1133333,24091.2998
"BGD","Iron","Industrial",143963346.036373,60312.692313047
